activity_year,loan_type,action_taken,loan_purpose,business_or_commercial_purpose,construction_method,occupancy_type,state_code,county_name,loan_amount,income,loan_term,property_value,total_units
2022,1,1,1,2,1,1,ND,Cass County  ,205000,155000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,NY,Westchester County  ,245000,84000.0,360.0,315000.0,1
2022,1,1,1,2,1,1,CA,Kern County  ,275000,64000.0,360.0,425000.0,1
2022,1,1,1,2,1,1,NM,Sandoval County  ,265000,127000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,OR,Josephine County  ,635000,107000.0,360.0,935000.0,1
2022,1,1,1,2,1,1,OH,Seneca County  ,105000,94000.0,360.0,115000.0,1
2022,1,1,1,2,1,1,OH,Seneca County  ,165000,64000.0,360.0,175000.0,1
2022,1,1,1,2,1,1,IL,Cook County  ,125000,62000.0,360.0,145000.0,1
2022,1,1,1,2,1,1,NJ,Burlington County  ,245000,96000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,NJ,Essex County  ,485000,213000.0,360.0,515000.0,1
2022,1,1,1,2,1,1,NJ,Bergen County  ,225000,134000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,IL,Will County  ,255000,115000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,TX,Harris County  ,345000,175000.0,360.0,545000.0,1
2022,1,1,1,2,1,1,AZ,Mohave County  ,175000,49000.0,360.0,455000.0,1
2022,1,1,1,2,1,1,CA,Kern County  ,265000,112000.0,360.0,515000.0,1
2022,1,1,1,2,1,1,OH,Clark County  ,75000,36000.0,360.0,85000.0,1
2022,1,1,1,2,1,1,NJ,Monmouth County  ,355000,73000.0,360.0,445000.0,1
2022,1,1,1,2,1,1,IL,DeKalb County  ,225000,66000.0,360.0,235000.0,1
2022,1,1,1,2,1,1,CA,Placer County  ,325000,62000.0,360.0,595000.0,1
2022,1,1,1,2,1,1,WV,Marion County  ,145000,60000.0,360.0,275000.0,1
2022,1,1,1,2,1,1,PA,Dauphin County  ,265000,114000.0,360.0,275000.0,1
